sample	library	run	r1_file	r2_file	reads_raw_r1	reads_raw_r2	reads_primers_fwd	reads_primers_rvs	reads_filtered_fwd	reads_filtered_rvs	reads_tabled	reads_chimera_checked	reads_tax.length_filtered
43667	43667	1	43667_S56_L001_R1_001.fastq.gz	43667_S56_L001_R2_001.fastq.gz	5559	5559	5102	5102	5055	5055	4925	4925	0
43668	43668	1	43668_S57_L001_R1_001.fastq.gz	43668_S57_L001_R2_001.fastq.gz	3749	3749	3410	3410	3246	3246	2946	2946	0
43669	43669	1	43669_S58_L001_R1_001.fastq.gz	43669_S58_L001_R2_001.fastq.gz	7643	7643	7051	7051	6791	6791	3287	3287	0
43670	43670	1	43670_S59_L001_R1_001.fastq.gz	43670_S59_L001_R2_001.fastq.gz	8149	8149	7574	7574	7323	7323	5015	5015	0
43671	43671	1	43671_S60_L001_R1_001.fastq.gz	43671_S60_L001_R2_001.fastq.gz	6105	6105	5695	5695	5656	5656	2713	2713	0
43672	43672	1	43672_S61_L001_R1_001.fastq.gz	43672_S61_L001_R2_001.fastq.gz	8816	8816	8184	8184	8119	8119	7920	7920	0
43673	43673	1	43673_S62_L001_R1_001.fastq.gz	43673_S62_L001_R2_001.fastq.gz	9313	9313	8504	8504	8381	8381	6309	6309	0
43674	43674	1	43674_S63_L001_R1_001.fastq.gz	43674_S63_L001_R2_001.fastq.gz	6213	6213	5755	5755	5646	5646	3085	3085	0
43675	43675	1	43675_S64_L001_R1_001.fastq.gz	43675_S64_L001_R2_001.fastq.gz	8584	8584	7933	7933	7232	7232	3027	3027	0
43676	43676	1	43676_S65_L001_R1_001.fastq.gz	43676_S65_L001_R2_001.fastq.gz	7522	7522	6885	6885	5601	5601	2333	2333	0
43677	43677	1	43677_S66_L001_R1_001.fastq.gz	43677_S66_L001_R2_001.fastq.gz	5822	5822	5350	5350	4533	4533	1798	1798	0
43678	43678	1	43678_S67_L001_R1_001.fastq.gz	43678_S67_L001_R2_001.fastq.gz	6962	6962	6428	6428	5153	5153	468	468	0
43679	43679	1	43679_S68_L001_R1_001.fastq.gz	43679_S68_L001_R2_001.fastq.gz	10802	10802	10106	10106	9771	9771	5871	5871	0
43680	43680	1	43680_S69_L001_R1_001.fastq.gz	43680_S69_L001_R2_001.fastq.gz	8321	8321	7667	7667	7317	7317	4656	4656	0
43681	43681	1	43681_S70_L001_R1_001.fastq.gz	43681_S70_L001_R2_001.fastq.gz	8546	8546	7945	7945	7917	7917	6195	6195	0
43682	43682	1	43682_S71_L001_R1_001.fastq.gz	43682_S71_L001_R2_001.fastq.gz	3177	3177	2859	2859	2098	2098	1068	1068	0
43683	43683	1	43683_S72_L001_R1_001.fastq.gz	43683_S72_L001_R2_001.fastq.gz	4189	4189	3870	3870	3059	3059	208	208	0
43684	43684	1	43684_S73_L001_R1_001.fastq.gz	43684_S73_L001_R2_001.fastq.gz	8012	8012	7339	7339	6935	6935	5080	5080	0
43685	43685	1	43685_S74_L001_R1_001.fastq.gz	43685_S74_L001_R2_001.fastq.gz	8144	8144	7478	7478	6379	6379	2595	2595	0
43686	43686	1	43686_S75_L001_R1_001.fastq.gz	43686_S75_L001_R2_001.fastq.gz	7220	7220	6421	6421	6325	6325	5942	5942	0
43687	43687	1	43687_S76_L001_R1_001.fastq.gz	43687_S76_L001_R2_001.fastq.gz	7896	7896	7360	7360	6975	6975	4335	4312	0
43688	43688	1	43688_S77_L001_R1_001.fastq.gz	43688_S77_L001_R2_001.fastq.gz	6804	6804	6243	6243	4272	4272	971	971	0
43689	43689	1	43689_S78_L001_R1_001.fastq.gz	43689_S78_L001_R2_001.fastq.gz	8109	8109	7630	7630	7587	7587	7495	7495	0
43690	43690	1	43690_S79_L001_R1_001.fastq.gz	43690_S79_L001_R2_001.fastq.gz	6187	6187	5722	5722	5533	5533	2716	2716	0
43691	43691	1	43691_S80_L001_R1_001.fastq.gz	43691_S80_L001_R2_001.fastq.gz	5773	5773	5394	5394	5325	5325	4379	4375	0
43692	43692	1	43692_S81_L001_R1_001.fastq.gz	43692_S81_L001_R2_001.fastq.gz	4735	4735	3489	3489	3233	3233	2845	2845	0
43693	43693	1	43693_S82_L001_R1_001.fastq.gz	43693_S82_L001_R2_001.fastq.gz	6031	6031	5600	5600	5553	5553	4627	4627	0
43694	43694	1	43694_S83_L001_R1_001.fastq.gz	43694_S83_L001_R2_001.fastq.gz	6877	6877	6346	6346	6274	6274	5125	5125	0
43695	43695	1	43695_S84_L001_R1_001.fastq.gz	43695_S84_L001_R2_001.fastq.gz	5881	5881	5515	5515	5465	5465	3497	3497	0
43696	43696	1	43696_S85_L001_R1_001.fastq.gz	43696_S85_L001_R2_001.fastq.gz	4819	4819	4479	4479	4405	4405	2297	2297	0
43697	43697	1	43697_S86_L001_R1_001.fastq.gz	43697_S86_L001_R2_001.fastq.gz	6889	6889	6396	6396	6327	6327	4647	4647	0
43698	43698	1	43698_S87_L001_R1_001.fastq.gz	43698_S87_L001_R2_001.fastq.gz	4751	4751	4327	4327	4276	4276	3470	3470	0
