Name,Organism
31130_consensus,Sebastes variabilis
31131_consensus,Sebastes variabilis
31164_consensus,Sebastes variabilis
31172_consensus,Sebastes variabilis
31199_consensus,Sebastes variabilis
31213_consensus,Sebastes variabilis
ABLG4486_consensus,Sebastes variabilis
33270_consensus,Sebastes ciliatus
33549_consensus,Sebastes ciliatus
33570_consensus,Sebastes ciliatus
33573_consensus,Sebastes ciliatus
ABLG4373_consensus,Sebastes ciliatus
ABLG4382_consensus,Sebastes ciliatus
ABLG4386_consensus,Sebastes ciliatus
ABLG4400_consensus,Sebastes ciliatus
ABLG4412_consensus,Sebastes ciliatus
ABLG4421_consensus,Sebastes ciliatus
ABLG4444_consensus,Sebastes ciliatus
ABLG4512_consensus,Sebastes ciliatus
31157_consensus,Sebastes variabilis
31165_consensus,Sebastes variabilis
31179_consensus,Sebastes variabilis
31210_consensus,Sebastes variabilis
33580_consensus,Sebastes variabilis
ABLG4471_consensus,Sebastes variabilis
ABLG4473_consensus,Sebastes variabilis
ABLG4481_consensus,Sebastes variabilis
ABLG4524_consensus,Sebastes variabilis
ABLG4431_consensus,Sebastes ciliatus
ABLG4449_consensus,Sebastes ciliatus
31202_consensus,Sebastes variabilis
31167_consensus,Sebastes variabilis
33579_consensus,Sebastes ciliatus
ABLG4445_consensus,Sebastes ciliatus
31211_consensus,Sebastes variabilis
ABLG4508_consensus,Sebastes ciliatus
ABLG4397_consensus,Sebastes ciliatus
ABLG4377_consensus,Sebastes ciliatus
ABLG4589_consensus,Sebastes ciliatus
33575_consensus,Sebastes ciliatus
ABLG4467_consensus,Sebastes ciliatus
31112_consensus,Sebastes polyspinis
ABLG10064_consensus,Sebastes polyspinis
