"Sample_ID","community","tech_rep","taxon","nReads","Cycles","start_conc_ng"
"all_even_A","all_even","A","Sebastes aleutianus",821,35,197
"all_even_A","all_even","A","Sebastes alutus",943,35,199
"all_even_A","all_even","A","Sebastes babcocki",935,35,195
"all_even_A","all_even","A","Sebastes borealis",895,35,195
"all_even_A","all_even","A","Sebastes brevispinis",1393,35,209
"all_even_A","all_even","A","Sebastes ciliatus",857,35,192
"all_even_A","all_even","A","Sebastes helvomaculatus",1828,35,199
"all_even_A","all_even","A","Sebastes maliger",500,35,202
"all_even_A","all_even","A","Sebastes melanops",180,35,190
"all_even_A","all_even","A","Sebastes melanostictus",883,35,184
"all_even_A","all_even","A","Sebastes nebulosus",68,35,182
"all_even_A","all_even","A","Sebastes nigrocinctus",2122,35,193
"all_even_A","all_even","A","Sebastes pinniger",916,35,209
"all_even_A","all_even","A","Sebastes polyspinis",1445,35,180
"all_even_A","all_even","A","Sebastes proriger",937,35,191
"all_even_A","all_even","A","Sebastes variabilis",929,35,197
"all_even_A","all_even","A","Sebastes variegatus",204,35,194
"all_even_A","all_even","A","Sebastes zacentrus",323,35,179
"all_even_B","all_even","B","Sebastes aleutianus",1591,35,197
"all_even_B","all_even","B","Sebastes alutus",1460,35,199
"all_even_B","all_even","B","Sebastes babcocki",1072,35,195
"all_even_B","all_even","B","Sebastes borealis",1619,35,195
"all_even_B","all_even","B","Sebastes brevispinis",2109,35,209
"all_even_B","all_even","B","Sebastes ciliatus",1597,35,192
"all_even_B","all_even","B","Sebastes helvomaculatus",2386,35,199
"all_even_B","all_even","B","Sebastes maliger",566,35,202
"all_even_B","all_even","B","Sebastes melanops",223,35,190
"all_even_B","all_even","B","Sebastes melanostictus",1672,35,184
"all_even_B","all_even","B","Sebastes nebulosus",88,35,182
"all_even_B","all_even","B","Sebastes nigrocinctus",2283,35,193
"all_even_B","all_even","B","Sebastes pinniger",1200,35,209
"all_even_B","all_even","B","Sebastes polyspinis",2875,35,180
"all_even_B","all_even","B","Sebastes proriger",1782,35,191
"all_even_B","all_even","B","Sebastes variabilis",1807,35,197
"all_even_B","all_even","B","Sebastes variegatus",235,35,194
"all_even_B","all_even","B","Sebastes zacentrus",481,35,179
"all_even_C","all_even","C","Sebastes aleutianus",1276,35,197
"all_even_C","all_even","C","Sebastes alutus",1261,35,199
"all_even_C","all_even","C","Sebastes babcocki",750,35,195
"all_even_C","all_even","C","Sebastes borealis",1396,35,195
"all_even_C","all_even","C","Sebastes brevispinis",1363,35,209
"all_even_C","all_even","C","Sebastes ciliatus",1387,35,192
"all_even_C","all_even","C","Sebastes helvomaculatus",1961,35,199
"all_even_C","all_even","C","Sebastes maliger",413,35,202
"all_even_C","all_even","C","Sebastes melanops",155,35,190
"all_even_C","all_even","C","Sebastes melanostictus",1333,35,184
"all_even_C","all_even","C","Sebastes nebulosus",97,35,182
"all_even_C","all_even","C","Sebastes nigrocinctus",1780,35,193
"all_even_C","all_even","C","Sebastes pinniger",851,35,209
"all_even_C","all_even","C","Sebastes polyspinis",2314,35,180
"all_even_C","all_even","C","Sebastes proriger",1406,35,191
"all_even_C","all_even","C","Sebastes variabilis",1547,35,197
"all_even_C","all_even","C","Sebastes variegatus",208,35,194
"all_even_C","all_even","C","Sebastes zacentrus",486,35,179
"ns_even_A","nearshore_even","A","Sebastes maliger",2125,35,202
"ns_even_A","nearshore_even","A","Sebastes melanops",645,35,190
"ns_even_A","nearshore_even","A","Sebastes nebulosus",393,35,182
"ns_even_A","nearshore_even","A","Sebastes nigrocinctus",9945,35,193
"ns_even_A","nearshore_even","A","Sebastes pinniger",4205,35,209
"ns_even_A","nearshore_even","A","Sebastes polyspinis",28,35,0
"ns_even_B","nearshore_even","B","Sebastes alutus",9,35,0
"ns_even_B","nearshore_even","B","Sebastes maliger",3064,35,202
"ns_even_B","nearshore_even","B","Sebastes melanops",994,35,190
"ns_even_B","nearshore_even","B","Sebastes nebulosus",601,35,182
"ns_even_B","nearshore_even","B","Sebastes nigrocinctus",13475,35,193
"ns_even_B","nearshore_even","B","Sebastes pinniger",6114,35,209
"ns_even_B","nearshore_even","B","Sebastes polyspinis",9,35,0
"ns_even_C","nearshore_even","C","Sebastes aleutianus",13,35,0
"ns_even_C","nearshore_even","C","Sebastes alutus",5,35,0
"ns_even_C","nearshore_even","C","Sebastes maliger",2622,35,202
"ns_even_C","nearshore_even","C","Sebastes melanops",995,35,190
"ns_even_C","nearshore_even","C","Sebastes nebulosus",623,35,182
"ns_even_C","nearshore_even","C","Sebastes nigrocinctus",10550,35,193
"ns_even_C","nearshore_even","C","Sebastes pinniger",5173,35,209
"ns_even_C","nearshore_even","C","Sebastes zacentrus",2,35,0
"os_even_A","offshore_even","A","Sebastes aleutianus",2192,35,197
"os_even_A","offshore_even","A","Sebastes alutus",2064,35,199
"os_even_A","offshore_even","A","Sebastes babcocki",1400,35,195
"os_even_A","offshore_even","A","Sebastes borealis",2334,35,195
"os_even_A","offshore_even","A","Sebastes brevispinis",2613,35,209
"os_even_A","offshore_even","A","Sebastes ciliatus",2346,35,192
"os_even_A","offshore_even","A","Sebastes helvomaculatus",3666,35,199
"os_even_A","offshore_even","A","Sebastes melanops",3,35,0
"os_even_A","offshore_even","A","Sebastes melanostictus",2141,35,184
"os_even_A","offshore_even","A","Sebastes polyspinis",4233,35,180
"os_even_A","offshore_even","A","Sebastes proriger",2408,35,191
"os_even_A","offshore_even","A","Sebastes variabilis",2582,35,197
"os_even_A","offshore_even","A","Sebastes variegatus",308,35,194
"os_even_A","offshore_even","A","Sebastes zacentrus",724,35,179
"os_even_B","offshore_even","B","Sebastes aleutianus",2408,35,197
"os_even_B","offshore_even","B","Sebastes alutus",2093,35,199
"os_even_B","offshore_even","B","Sebastes babcocki",1228,35,195
"os_even_B","offshore_even","B","Sebastes borealis",2454,35,195
"os_even_B","offshore_even","B","Sebastes brevispinis",2420,35,209
"os_even_B","offshore_even","B","Sebastes ciliatus",2486,35,192
"os_even_B","offshore_even","B","Sebastes helvomaculatus",3381,35,199
"os_even_B","offshore_even","B","Sebastes melanostictus",2340,35,184
"os_even_B","offshore_even","B","Sebastes nigrocinctus",2,35,0
"os_even_B","offshore_even","B","Sebastes pinniger",6,35,0
"os_even_B","offshore_even","B","Sebastes polyspinis",4314,35,180
"os_even_B","offshore_even","B","Sebastes proriger",2571,35,191
"os_even_B","offshore_even","B","Sebastes variabilis",2493,35,197
"os_even_B","offshore_even","B","Sebastes variegatus",315,35,194
"os_even_B","offshore_even","B","Sebastes zacentrus",705,35,179
"os_even_C","offshore_even","C","Sebastes aleutianus",2272,35,197
"os_even_C","offshore_even","C","Sebastes alutus",2278,35,199
"os_even_C","offshore_even","C","Sebastes babcocki",1297,35,195
"os_even_C","offshore_even","C","Sebastes borealis",2330,35,195
"os_even_C","offshore_even","C","Sebastes brevispinis",2574,35,209
"os_even_C","offshore_even","C","Sebastes ciliatus",2584,35,192
"os_even_C","offshore_even","C","Sebastes helvomaculatus",3287,35,199
"os_even_C","offshore_even","C","Sebastes melanops",8,35,0
"os_even_C","offshore_even","C","Sebastes melanostictus",2335,35,184
"os_even_C","offshore_even","C","Sebastes polyspinis",4362,35,180
"os_even_C","offshore_even","C","Sebastes proriger",2583,35,191
"os_even_C","offshore_even","C","Sebastes variabilis",2637,35,197
"os_even_C","offshore_even","C","Sebastes variegatus",387,35,194
"os_even_C","offshore_even","C","Sebastes zacentrus",715,35,179
"os_skew_A","offshore_skew","A","Sebastes aleutianus",2089,35,591
"os_skew_A","offshore_skew","A","Sebastes alutus",3294,35,995
"os_skew_A","offshore_skew","A","Sebastes babcocki",360,35,195
"os_skew_A","offshore_skew","A","Sebastes borealis",1355,35,390
"os_skew_A","offshore_skew","A","Sebastes brevispinis",786,35,209
"os_skew_A","offshore_skew","A","Sebastes ciliatus",753,35,192
"os_skew_A","offshore_skew","A","Sebastes helvomaculatus",982,35,199
"os_skew_A","offshore_skew","A","Sebastes melanops",2,35,0
"os_skew_A","offshore_skew","A","Sebastes melanostictus",3384,35,920
"os_skew_A","offshore_skew","A","Sebastes polyspinis",5185,35,900
"os_skew_A","offshore_skew","A","Sebastes proriger",705,35,191
"os_skew_A","offshore_skew","A","Sebastes variabilis",769,35,197
"os_skew_A","offshore_skew","A","Sebastes variegatus",78,35,194
"os_skew_A","offshore_skew","A","Sebastes zacentrus",192,35,179
"os_skew_B","offshore_skew","B","Sebastes aleutianus",3381,35,591
"os_skew_B","offshore_skew","B","Sebastes alutus",5258,35,995
"os_skew_B","offshore_skew","B","Sebastes babcocki",756,35,195
"os_skew_B","offshore_skew","B","Sebastes borealis",2409,35,390
"os_skew_B","offshore_skew","B","Sebastes brevispinis",1467,35,209
"os_skew_B","offshore_skew","B","Sebastes ciliatus",1211,35,192
"os_skew_B","offshore_skew","B","Sebastes helvomaculatus",1763,35,199
"os_skew_B","offshore_skew","B","Sebastes melanostictus",5573,35,920
"os_skew_B","offshore_skew","B","Sebastes polyspinis",9175,35,900
"os_skew_B","offshore_skew","B","Sebastes proriger",1229,35,191
"os_skew_B","offshore_skew","B","Sebastes variabilis",1284,35,197
"os_skew_B","offshore_skew","B","Sebastes variegatus",180,35,194
"os_skew_B","offshore_skew","B","Sebastes zacentrus",375,35,179
"os_skew_C","offshore_skew","C","Sebastes aleutianus",1815,35,591
"os_skew_C","offshore_skew","C","Sebastes alutus",2868,35,995
"os_skew_C","offshore_skew","C","Sebastes babcocki",329,35,195
"os_skew_C","offshore_skew","C","Sebastes borealis",1360,35,390
"os_skew_C","offshore_skew","C","Sebastes brevispinis",743,35,209
"os_skew_C","offshore_skew","C","Sebastes ciliatus",681,35,192
"os_skew_C","offshore_skew","C","Sebastes helvomaculatus",766,35,199
"os_skew_C","offshore_skew","C","Sebastes melanostictus",3140,35,920
"os_skew_C","offshore_skew","C","Sebastes polyspinis",5154,35,900
"os_skew_C","offshore_skew","C","Sebastes proriger",683,35,191
"os_skew_C","offshore_skew","C","Sebastes variabilis",648,35,197
"os_skew_C","offshore_skew","C","Sebastes variegatus",86,35,194
